1020,20,320.0000,10,0.000000000E+000
1020,72,4400.0000,30,0.000000000E+000
1020,78,1500.0000,30,0.000000000E+000
1020,109,180.0000,50,0.000000000E+000
1020,113,300.0000,50,0.000000000E+000
1020,122,1000.0000,30,0.000000000E+000
1053,63,230.0000,50,0.000000000E+000
1053,64,280.0000,50,0.000000000E+000
1053,65,280.0000,50,0.000000000E+000
1053,93,350.0000,50,0.000000000E+000
1053,100,180.0000,30,0.000000000E+000
1053,106,250.0000,40,0.000000000E+000
1090,63,230.0000,50,0.000000000E+000
1090,64,280.0000,30,0.000000000E+000
1090,65,280.0000,30,0.000000000E+000
1090,104,250.0000,60,0.000000000E+000
1090,115,280.0000,50,0.000000000E+000
1090,117,300.0000,100,0.000000000E+000
2015,73,200.0000,10,0.000000000E+000
2015,77,2800.0000,5,0.000000000E+000
2015,84,200.0000,50,0.000000000E+000
2015,96,420.0000,30,0.000000000E+000
2015,104,250.0000,20,0.000000000E+000
2015,110,230.0000,50,0.000000000E+000
2053,55,6000.0000,10,0.000000000E+000
2053,56,230.0000,50,0.000000000E+000
2053,72,4400.0000,30,0.000000000E+000
2053,115,280.0000,50,0.000000000E+000
2053,116,230.0000,50,0.000000000E+000
2053,117,300.0000,100,0.000000000E+000
2090,12,210.0000,100,0.000000000E+000
2090,14,250.0000,50,0.000000000E+000
2090,18,200.0000,30,0.000000000E+000
2090,88,100.0000,30,0.000000000E+000
2090,95,380.0000,50,0.000000000E+000
2090,99,180.0000,100,0.000000000E+000
2114,8,280.0000,80,0.000000000E+000
2114,9,300.0000,80,0.000000000E+000
2114,10,250.0000,80,0.000000000E+000
2114,94,120.0000,30,0.000000000E+000
2114,99,180.0000,100,0.000000000E+000
2114,123,100.0000,100,0.000000000E+000
3019,1,200.0000,20,0.000000000E+000
3019,2,200.0000,20,0.000000000E+000
3019,3,200.0000,20,0.000000000E+000
3019,4,200.0000,20,0.000000000E+000
3019,11,2600.0000,10,0.000000000E+000
3019,12,210.0000,50,0.000000000E+000
3019,13,2800.0000,10,0.000000000E+000
3019,14,250.0000,30,0.000000000E+000
3019,21,2800.0000,10,0.000000000E+000
3019,22,2800.0000,10,0.000000000E+000
